model MegaCRN
dataset China_Air
trainval_ratio 0.5
val_ratio 0.125
num_nodes 10
seq_len 12
horizon 12
input_dim 1
output_dim 1
num_rnn_layers 1
rnn_units 64
max_diffusion_step 3
mem_num 20
mem_dim 64
loss mask_mae_loss
separate loss lamb 0.01
compact loss lamb1 0.01
batch_size 64
epochs 100
patience 20
lr 0.01
epsilon 0.001
steps [50, 100]
lr_decay_ratio 0.1
use_curriculum_learning True
China_Air training and testing started Mon Jun 17 21:28:19 2024
train xs.shape, ys.shape (171, 12, 10, 2) (171, 12, 10, 2)
val xs.shape, ys.shape (0, 12, 10, 2) (0, 12, 10, 2)
test xs.shape, ys.shape (171, 12, 10, 2) (171, 12, 10, 2)
Trainable parameter list: 
In total: 380881 trainable parameters. 
Epoch [1/100] (3) train_loss: 1.1351, val_loss: nan, lr: 0.010000, 1.1s 
Epoch [67/100] (201) train_loss: 0.2680, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [68/100] (204) train_loss: 0.2681, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [69/100] (207) train_loss: 0.2681, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [70/100] (210) train_loss: 0.2677, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [71/100] (213) train_loss: 0.2676, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [72/100] (216) train_loss: 0.2675, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [73/100] (219) train_loss: 0.2675, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [74/100] (222) train_loss: 0.2673, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [75/100] (225) train_loss: 0.2672, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [76/100] (228) train_loss: 0.2673, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [77/100] (231) train_loss: 0.2672, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [78/100] (234) train_loss: 0.2670, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [79/100] (237) train_loss: 0.2668, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [80/100] (240) train_loss: 0.2664, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [81/100] (243) train_loss: 0.2665, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [82/100] (246) train_loss: 0.2666, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [83/100] (249) train_loss: 0.2677, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [84/100] (252) train_loss: 0.2687, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [85/100] (255) train_loss: 0.2673, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [86/100] (258) train_loss: 0.2673, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [87/100] (261) train_loss: 0.2685, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [88/100] (264) train_loss: 0.2676, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [89/100] (267) train_loss: 0.2673, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [90/100] (270) train_loss: 0.2677, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [91/100] (273) train_loss: 0.2678, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [92/100] (276) train_loss: 0.2671, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [93/100] (279) train_loss: 0.2667, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [94/100] (282) train_loss: 0.2660, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [95/100] (285) train_loss: 0.2667, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [96/100] (288) train_loss: 0.2661, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [97/100] (291) train_loss: 0.2660, val_loss: nan, lr: 0.001000, 0.5s 
Epoch [98/100] (294) train_loss: 0.2661, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [99/100] (297) train_loss: 0.2661, val_loss: nan, lr: 0.001000, 0.4s 
Epoch [100/100] (300) train_loss: 0.2658, val_loss: nan, lr: 0.000100, 0.4s 
===================================Best model performance=================================== 
Horizon overall: mze: 0.7249, mae: 0.9631 
Horizon 1 day: mze: 0.7302, mae: 0.9615, precision: 0.2422, recall: 0.4224, f1: 0.2472 
Horizon 3 day: mze: 0.7333, mae: 0.9656, precision: 0.2569, recall: 0.4222, f1: 0.2517 
Horizon 5 day: mze: 0.7099, mae: 0.9370, precision: 0.2623, recall: 0.4394, f1: 0.2702 
Horizon 7 day: mze: 0.7453, mae: 0.9953, precision: 0.2433, recall: 0.4253, f1: 0.2416 
China_Air training and testing ended Mon Jun 17 21:29:08 2024
